gene1	gene2	correlation	p.adjusted
beta_lactam__cphA2	ncrY	0.793324619	2.32E-12
chloramphenicol__catB9	ncrY	0.793324619	2.32E-12
aminoglycoside__aadA16	nhlF	0.793324619	2.32E-12
chloramphenicol__catII	nhlF	0.793324619	2.32E-12
chloramphenicol__cmlB1	nhlF	0.793324619	2.32E-12
fosfomycin__FosA4	nhlF	0.793324619	2.32E-12
multidrug__CrcB	nhlF	0.793324619	2.32E-12
multidrug__efmA	nhlF	0.793324619	2.32E-12
aminoglycoside__aadA14	nirD	0.793324619	2.32E-12
beta_lactam__BcI	nirD	0.793324619	2.32E-12
beta_lactam__BcIII	nirD	0.793324619	2.32E-12
chloramphenicol__catA4	nirD	0.793324619	2.32E-12
chloramphenicol__catB10	nirD	0.793324619	2.32E-12
fosfomycin__FosA5	nirD	0.793324619	2.32E-12
fosfomycin__FosA6	nirD	0.793324619	2.32E-12
multidrug__emeA	nirD	0.793324619	2.32E-12
aminoglycoside__aadA4	nixA	0.793324619	2.32E-12
beta_lactam__blaS1	nixA	0.793324619	2.32E-12
beta_lactam__cphA7	nixA	0.793324619	2.32E-12
chloramphenicol__catQ	nixA	0.793324619	2.32E-12
chloramphenicol__cmlA4	nixA	0.793324619	2.32E-12
chloramphenicol__cmlA5	nixA	0.793324619	2.32E-12
aminoglycoside__aadA14	nmtR	0.793324619	2.32E-12
beta_lactam__BcI	nmtR	0.793324619	2.32E-12
beta_lactam__BcIII	nmtR	0.793324619	2.32E-12
chloramphenicol__catA4	nmtR	0.793324619	2.32E-12
chloramphenicol__catB10	nmtR	0.793324619	2.32E-12
fosfomycin__FosA5	nmtR	0.793324619	2.32E-12
fosfomycin__FosA6	nmtR	0.793324619	2.32E-12
multidrug__emeA	nmtR	0.793324619	2.32E-12
aminoglycoside__aadA16	pfr	0.793324619	2.32E-12
chloramphenicol__catII	pfr	0.793324619	2.32E-12
chloramphenicol__cmlB1	pfr	0.793324619	2.32E-12
fosfomycin__FosA4	pfr	0.793324619	2.32E-12
multidrug__CrcB	pfr	0.793324619	2.32E-12
multidrug__efmA	pfr	0.793324619	2.32E-12
aminoglycoside__aadA13	pmrG	0.793324619	2.32E-12
aminoglycoside__aadA9	pmrG	0.793324619	2.32E-12
beta_lactam__CepS	pmrG	0.793324619	2.32E-12
beta_lactam__MAB	pmrG	0.793324619	2.32E-12
beta_lactam__cphA2	pmrG	0.793324619	2.32E-12
chloramphenicol__catB9	pmrG	0.793324619	2.32E-12
fbpB	quinolone__QnrB19	0.793324619	2.32E-12
frnE	quinolone__QnrB19	0.793324619	2.32E-12
nixA	quinolone__QnrB19	0.793324619	2.32E-12
eefX	quinolone__QnrB20	0.793324619	2.32E-12
farR	quinolone__QnrB20	0.793324619	2.32E-12
mtrC	quinolone__QnrB20	0.793324619	2.32E-12
nirD	quinolone__QnrB20	0.793324619	2.32E-12
nmtR	quinolone__QnrB20	0.793324619	2.32E-12
bcrA	quinolone__QnrB21	0.793324619	2.32E-12
mtrR	quinolone__QnrB21	0.793324619	2.32E-12
nhlF	quinolone__QnrB21	0.793324619	2.32E-12
pfr	quinolone__QnrB21	0.793324619	2.32E-12
bcrA	quinolone__QnrB25	0.793324619	2.32E-12
mtrR	quinolone__QnrB25	0.793324619	2.32E-12
nhlF	quinolone__QnrB25	0.793324619	2.32E-12
pfr	quinolone__QnrB25	0.793324619	2.32E-12
bcrA	quinolone__QnrB27	0.793324619	2.32E-12
mtrR	quinolone__QnrB27	0.793324619	2.32E-12
nhlF	quinolone__QnrB27	0.793324619	2.32E-12
pfr	quinolone__QnrB27	0.793324619	2.32E-12
bcrA	quinolone__QnrB28	0.793324619	2.32E-12
mtrR	quinolone__QnrB28	0.793324619	2.32E-12
nhlF	quinolone__QnrB28	0.793324619	2.32E-12
pfr	quinolone__QnrB28	0.793324619	2.32E-12
bcrA	quinolone__QnrB30	0.793324619	2.32E-12
mtrR	quinolone__QnrB30	0.793324619	2.32E-12
nhlF	quinolone__QnrB30	0.793324619	2.32E-12
pfr	quinolone__QnrB30	0.793324619	2.32E-12
bcrA	quinolone__QnrB33	0.793324619	2.32E-12
mtrR	quinolone__QnrB33	0.793324619	2.32E-12
nhlF	quinolone__QnrB33	0.793324619	2.32E-12
pfr	quinolone__QnrB33	0.793324619	2.32E-12
bcrA	quinolone__QnrB35	0.793324619	2.32E-12
mtrR	quinolone__QnrB35	0.793324619	2.32E-12
nhlF	quinolone__QnrB35	0.793324619	2.32E-12
pfr	quinolone__QnrB35	0.793324619	2.32E-12
bcrA	quinolone__QnrB37	0.793324619	2.32E-12
mtrR	quinolone__QnrB37	0.793324619	2.32E-12
nhlF	quinolone__QnrB37	0.793324619	2.32E-12
pfr	quinolone__QnrB37	0.793324619	2.32E-12
bcrA	quinolone__QnrB4	0.793324619	2.32E-12
mtrR	quinolone__QnrB4	0.793324619	2.32E-12
nhlF	quinolone__QnrB4	0.793324619	2.32E-12
pfr	quinolone__QnrB4	0.793324619	2.32E-12
fbpB	quinolone__QnrB5	0.793324619	2.32E-12
frnE	quinolone__QnrB5	0.793324619	2.32E-12
nixA	quinolone__QnrB5	0.793324619	2.32E-12
bcrA	quinolone__QnrB60	0.793324619	2.32E-12
mtrR	quinolone__QnrB60	0.793324619	2.32E-12
nhlF	quinolone__QnrB60	0.793324619	2.32E-12
pfr	quinolone__QnrB60	0.793324619	2.32E-12
bcrA	quinolone__QnrB61	0.793324619	2.32E-12
mtrR	quinolone__QnrB61	0.793324619	2.32E-12
nhlF	quinolone__QnrB61	0.793324619	2.32E-12
pfr	quinolone__QnrB61	0.793324619	2.32E-12
bcrA	quinolone__QnrB65	0.793324619	2.32E-12
mtrR	quinolone__QnrB65	0.793324619	2.32E-12
nhlF	quinolone__QnrB65	0.793324619	2.32E-12
pfr	quinolone__QnrB65	0.793324619	2.32E-12
bcrA	quinolone__QnrB71	0.793324619	2.32E-12
mtrR	quinolone__QnrB71	0.793324619	2.32E-12
nhlF	quinolone__QnrB71	0.793324619	2.32E-12
pfr	quinolone__QnrB71	0.793324619	2.32E-12
bcrA	quinolone__QnrB72	0.793324619	2.32E-12
mtrR	quinolone__QnrB72	0.793324619	2.32E-12
nhlF	quinolone__QnrB72	0.793324619	2.32E-12
pfr	quinolone__QnrB72	0.793324619	2.32E-12
bcrA	quinolone__QnrB73	0.793324619	2.32E-12
mtrR	quinolone__QnrB73	0.793324619	2.32E-12
nhlF	quinolone__QnrB73	0.793324619	2.32E-12
pfr	quinolone__QnrB73	0.793324619	2.32E-12
bcrA	quinolone__QnrB8	0.793324619	2.32E-12
mtrR	quinolone__QnrB8	0.793324619	2.32E-12
nhlF	quinolone__QnrB8	0.793324619	2.32E-12
pfr	quinolone__QnrB8	0.793324619	2.32E-12
bcrA	quinolone__QnrD1	0.793324619	2.32E-12
mtrR	quinolone__QnrD1	0.793324619	2.32E-12
nhlF	quinolone__QnrD1	0.793324619	2.32E-12
pfr	quinolone__QnrD1	0.793324619	2.32E-12
bcrA	quinolone__QnrD2	0.793324619	2.32E-12
mtrR	quinolone__QnrD2	0.793324619	2.32E-12
nhlF	quinolone__QnrD2	0.793324619	2.32E-12
pfr	quinolone__QnrD2	0.793324619	2.32E-12
bcrA	quinolone__QnrS3	0.793324619	2.32E-12
mtrR	quinolone__QnrS3	0.793324619	2.32E-12
nhlF	quinolone__QnrS3	0.793324619	2.32E-12
pfr	quinolone__QnrS3	0.793324619	2.32E-12
bcrA	quinolone__QnrS7	0.793324619	2.32E-12
mtrR	quinolone__QnrS7	0.793324619	2.32E-12
nhlF	quinolone__QnrS7	0.793324619	2.32E-12
pfr	quinolone__QnrS7	0.793324619	2.32E-12
aminoglycoside__aadA14	silF	0.793324619	2.32E-12
beta_lactam__BcI	silF	0.793324619	2.32E-12
beta_lactam__BcIII	silF	0.793324619	2.32E-12
chloramphenicol__catA4	silF	0.793324619	2.32E-12
chloramphenicol__catB10	silF	0.793324619	2.32E-12
fosfomycin__FosA5	silF	0.793324619	2.32E-12
fosfomycin__FosA6	silF	0.793324619	2.32E-12
multidrug__emeA	silF	0.793324619	2.32E-12
quinolone__QnrB20	silF	0.793324619	2.32E-12
aminoglycoside__aadA4	srpA	0.793324619	2.32E-12
beta_lactam__blaS1	srpA	0.793324619	2.32E-12
beta_lactam__cphA7	srpA	0.793324619	2.32E-12
chloramphenicol__catQ	srpA	0.793324619	2.32E-12
chloramphenicol__cmlA4	srpA	0.793324619	2.32E-12
chloramphenicol__cmlA5	srpA	0.793324619	2.32E-12
quinolone__QnrB19	srpA	0.793324619	2.32E-12
quinolone__QnrB5	srpA	0.793324619	2.32E-12
aminoglycoside__aadA4	ssmE	0.793324619	2.32E-12
beta_lactam__blaS1	ssmE	0.793324619	2.32E-12
beta_lactam__cphA7	ssmE	0.793324619	2.32E-12
chloramphenicol__catQ	ssmE	0.793324619	2.32E-12
chloramphenicol__cmlA4	ssmE	0.793324619	2.32E-12
chloramphenicol__cmlA5	ssmE	0.793324619	2.32E-12
quinolone__QnrB19	ssmE	0.793324619	2.32E-12
quinolone__QnrB5	ssmE	0.793324619	2.32E-12
eefX	streptothricin__SatA	0.793324619	2.32E-12
farR	streptothricin__SatA	0.793324619	2.32E-12
mtrC	streptothricin__SatA	0.793324619	2.32E-12
nirD	streptothricin__SatA	0.793324619	2.32E-12
nmtR	streptothricin__SatA	0.793324619	2.32E-12
silF	streptothricin__SatA	0.793324619	2.32E-12
aminoglycoside__aadA13	tbtR	0.793324619	2.32E-12
aminoglycoside__aadA9	tbtR	0.793324619	2.32E-12
beta_lactam__CepS	tbtR	0.793324619	2.32E-12
beta_lactam__MAB	tbtR	0.793324619	2.32E-12
beta_lactam__cphA2	tbtR	0.793324619	2.32E-12
chloramphenicol__catB9	tbtR	0.793324619	2.32E-12
chtS	tetracycline__tetX6	0.793324619	2.32E-12
cueP	tetracycline__tetX6	0.793324619	2.32E-12
emrK	tetracycline__tetX6	0.793324619	2.32E-12
farB	tetracycline__tetX6	0.793324619	2.32E-12
ncrY	tetracycline__tetX6	0.793324619	2.32E-12
pmrG	tetracycline__tetX6	0.793324619	2.32E-12
tbtR	tetracycline__tetX6	0.793324619	2.32E-12
aminoglycoside__aadA13	triA	0.793324619	2.32E-12
aminoglycoside__aadA9	triA	0.793324619	2.32E-12
beta_lactam__CepS	triA	0.793324619	2.32E-12
beta_lactam__MAB	triA	0.793324619	2.32E-12
beta_lactam__cphA2	triA	0.793324619	2.32E-12
chloramphenicol__catB9	triA	0.793324619	2.32E-12
tetracycline__tetX6	triA	0.793324619	2.32E-12
chtS	trimethoprim__dfrA12	0.793324619	2.32E-12
cueP	trimethoprim__dfrA12	0.793324619	2.32E-12
emrK	trimethoprim__dfrA12	0.793324619	2.32E-12
farB	trimethoprim__dfrA12	0.793324619	2.32E-12
ncrY	trimethoprim__dfrA12	0.793324619	2.32E-12
pmrG	trimethoprim__dfrA12	0.793324619	2.32E-12
tbtR	trimethoprim__dfrA12	0.793324619	2.32E-12
triA	trimethoprim__dfrA12	0.793324619	2.32E-12
fbpB	trimethoprim__dfrA18	0.793324619	2.32E-12
frnE	trimethoprim__dfrA18	0.793324619	2.32E-12
nixA	trimethoprim__dfrA18	0.793324619	2.32E-12
srpA	trimethoprim__dfrA18	0.793324619	2.32E-12
ssmE	trimethoprim__dfrA18	0.793324619	2.32E-12
fbpB	trimethoprim__dfrA5	0.793324619	2.32E-12
frnE	trimethoprim__dfrA5	0.793324619	2.32E-12
nixA	trimethoprim__dfrA5	0.793324619	2.32E-12
srpA	trimethoprim__dfrA5	0.793324619	2.32E-12
ssmE	trimethoprim__dfrA5	0.793324619	2.32E-12
aminoglycoside__aadK	troD	0.793324619	2.32E-12
trimethoprim__DfrB9	troD	0.793324619	2.32E-12
aminoglycoside__aadA13	ttgT	0.793324619	2.32E-12
aminoglycoside__aadA9	ttgT	0.793324619	2.32E-12
beta_lactam__CepS	ttgT	0.793324619	2.32E-12
beta_lactam__MAB	ttgT	0.793324619	2.32E-12
beta_lactam__cphA2	ttgT	0.793324619	2.32E-12
chloramphenicol__catB9	ttgT	0.793324619	2.32E-12
tetracycline__tetX6	ttgT	0.793324619	2.32E-12
trimethoprim__dfrA12	ttgT	0.793324619	2.32E-12
fbpB	vancomycin__vanE	0.793324619	2.32E-12
frnE	vancomycin__vanE	0.793324619	2.32E-12
nixA	vancomycin__vanE	0.793324619	2.32E-12
srpA	vancomycin__vanE	0.793324619	2.32E-12
ssmE	vancomycin__vanE	0.793324619	2.32E-12
adeT2	vancomycin__vanH_in_vanP_cl	0.793324619	2.32E-12
nccN	vancomycin__vanH_in_vanP_cl	0.793324619	2.32E-12
pmrB	vancomycin__vanH_in_vanP_cl	0.793324619	2.32E-12
triC	vancomycin__vanH_in_vanP_cl	0.793324619	2.32E-12
eefX	vancomycin__vanI	0.793324619	2.32E-12
farR	vancomycin__vanI	0.793324619	2.32E-12
mtrC	vancomycin__vanI	0.793324619	2.32E-12
nirD	vancomycin__vanI	0.793324619	2.32E-12
nmtR	vancomycin__vanI	0.793324619	2.32E-12
silF	vancomycin__vanI	0.793324619	2.32E-12
chtS	vancomycin__vanN	0.793324619	2.32E-12
cueP	vancomycin__vanN	0.793324619	2.32E-12
emrK	vancomycin__vanN	0.793324619	2.32E-12
farB	vancomycin__vanN	0.793324619	2.32E-12
ncrY	vancomycin__vanN	0.793324619	2.32E-12
pmrG	vancomycin__vanN	0.793324619	2.32E-12
tbtR	vancomycin__vanN	0.793324619	2.32E-12
triA	vancomycin__vanN	0.793324619	2.32E-12
ttgT	vancomycin__vanN	0.793324619	2.32E-12
bcrA	vancomycin__vanTG	0.793324619	2.32E-12
mtrR	vancomycin__vanTG	0.793324619	2.32E-12
nhlF	vancomycin__vanTG	0.793324619	2.32E-12
pfr	vancomycin__vanTG	0.793324619	2.32E-12
eefX	vancomycin__vanYF	0.793324619	2.32E-12
farR	vancomycin__vanYF	0.793324619	2.32E-12
mtrC	vancomycin__vanYF	0.793324619	2.32E-12
nirD	vancomycin__vanYF	0.793324619	2.32E-12
nmtR	vancomycin__vanYF	0.793324619	2.32E-12
silF	vancomycin__vanYF	0.793324619	2.32E-12
eefX	vancomycin__vanYM	0.793324619	2.32E-12
farR	vancomycin__vanYM	0.793324619	2.32E-12
mtrC	vancomycin__vanYM	0.793324619	2.32E-12
nirD	vancomycin__vanYM	0.793324619	2.32E-12
nmtR	vancomycin__vanYM	0.793324619	2.32E-12
silF	vancomycin__vanYM	0.793324619	2.32E-12
eefX	vancomycin__vanZF	0.793324619	2.32E-12
farR	vancomycin__vanZF	0.793324619	2.32E-12
mtrC	vancomycin__vanZF	0.793324619	2.32E-12
nirD	vancomycin__vanZF	0.793324619	2.32E-12
nmtR	vancomycin__vanZF	0.793324619	2.32E-12
silF	vancomycin__vanZF	0.793324619	2.32E-12
aminoglycoside__aadA14	vceC	0.793324619	2.32E-12
beta_lactam__BcI	vceC	0.793324619	2.32E-12
beta_lactam__BcIII	vceC	0.793324619	2.32E-12
chloramphenicol__catA4	vceC	0.793324619	2.32E-12
chloramphenicol__catB10	vceC	0.793324619	2.32E-12
fosfomycin__FosA5	vceC	0.793324619	2.32E-12
fosfomycin__FosA6	vceC	0.793324619	2.32E-12
multidrug__emeA	vceC	0.793324619	2.32E-12
quinolone__QnrB20	vceC	0.793324619	2.32E-12
streptothricin__SatA	vceC	0.793324619	2.32E-12
vancomycin__vanI	vceC	0.793324619	2.32E-12
vancomycin__vanYF	vceC	0.793324619	2.32E-12
vancomycin__vanYM	vceC	0.793324619	2.32E-12
vancomycin__vanZF	vceC	0.793324619	2.32E-12
aminoglycoside__aadA14	vceR	0.793324619	2.32E-12
beta_lactam__BcI	vceR	0.793324619	2.32E-12
beta_lactam__BcIII	vceR	0.793324619	2.32E-12
chloramphenicol__catA4	vceR	0.793324619	2.32E-12
chloramphenicol__catB10	vceR	0.793324619	2.32E-12
fosfomycin__FosA5	vceR	0.793324619	2.32E-12
fosfomycin__FosA6	vceR	0.793324619	2.32E-12
multidrug__emeA	vceR	0.793324619	2.32E-12
quinolone__QnrB20	vceR	0.793324619	2.32E-12
streptothricin__SatA	vceR	0.793324619	2.32E-12
vancomycin__vanI	vceR	0.793324619	2.32E-12
vancomycin__vanYF	vceR	0.793324619	2.32E-12
vancomycin__vanYM	vceR	0.793324619	2.32E-12
vancomycin__vanZF	vceR	0.793324619	2.32E-12
aminoglycoside__aadA8b	ycnK	0.793324619	2.32E-12
aminoglycoside__aadA14	ydeI	0.793324619	2.32E-12
beta_lactam__BcI	ydeI	0.793324619	2.32E-12
beta_lactam__BcIII	ydeI	0.793324619	2.32E-12
chloramphenicol__catA4	ydeI	0.793324619	2.32E-12
chloramphenicol__catB10	ydeI	0.793324619	2.32E-12
fosfomycin__FosA5	ydeI	0.793324619	2.32E-12
fosfomycin__FosA6	ydeI	0.793324619	2.32E-12
multidrug__emeA	ydeI	0.793324619	2.32E-12
quinolone__QnrB20	ydeI	0.793324619	2.32E-12
streptothricin__SatA	ydeI	0.793324619	2.32E-12
vancomycin__vanI	ydeI	0.793324619	2.32E-12
vancomycin__vanYF	ydeI	0.793324619	2.32E-12
vancomycin__vanYM	ydeI	0.793324619	2.32E-12
vancomycin__vanZF	ydeI	0.793324619	2.32E-12
aminoglycoside__aadA4	yhcN	0.793324619	2.32E-12
beta_lactam__blaS1	yhcN	0.793324619	2.32E-12
beta_lactam__cphA7	yhcN	0.793324619	2.32E-12
chloramphenicol__catQ	yhcN	0.793324619	2.32E-12
chloramphenicol__cmlA4	yhcN	0.793324619	2.32E-12
chloramphenicol__cmlA5	yhcN	0.793324619	2.32E-12
quinolone__QnrB19	yhcN	0.793324619	2.32E-12
quinolone__QnrB5	yhcN	0.793324619	2.32E-12
trimethoprim__dfrA18	yhcN	0.793324619	2.32E-12
trimethoprim__dfrA5	yhcN	0.793324619	2.32E-12
vancomycin__vanE	yhcN	0.793324619	2.32E-12
aminoglycoside__aadA14	yjaA	0.793324619	2.32E-12
beta_lactam__BcI	yjaA	0.793324619	2.32E-12
beta_lactam__BcIII	yjaA	0.793324619	2.32E-12
chloramphenicol__catA4	yjaA	0.793324619	2.32E-12
chloramphenicol__catB10	yjaA	0.793324619	2.32E-12
fosfomycin__FosA5	yjaA	0.793324619	2.32E-12
fosfomycin__FosA6	yjaA	0.793324619	2.32E-12
multidrug__emeA	yjaA	0.793324619	2.32E-12
quinolone__QnrB20	yjaA	0.793324619	2.32E-12
streptothricin__SatA	yjaA	0.793324619	2.32E-12
vancomycin__vanI	yjaA	0.793324619	2.32E-12
vancomycin__vanYF	yjaA	0.793324619	2.32E-12
vancomycin__vanYM	yjaA	0.793324619	2.32E-12
vancomycin__vanZF	yjaA	0.793324619	2.32E-12
aminoglycoside__aadA13	zraP	0.793324619	2.32E-12
aminoglycoside__aadA9	zraP	0.793324619	2.32E-12
beta_lactam__CepS	zraP	0.793324619	2.32E-12
beta_lactam__MAB	zraP	0.793324619	2.32E-12
beta_lactam__cphA2	zraP	0.793324619	2.32E-12
chloramphenicol__catB9	zraP	0.793324619	2.32E-12
tetracycline__tetX6	zraP	0.793324619	2.32E-12
trimethoprim__dfrA12	zraP	0.793324619	2.32E-12
vancomycin__vanN	zraP	0.793324619	2.32E-12
multidrug__ParS	sdeX	0.793610457	2.32E-12
multidrug__abeS	wtpC	0.793646832	2.32E-12
aminoglycoside__aadA4	bcrA	0.793849999	2.32E-12
bcrA	beta_lactam__blaS1	0.793849999	2.32E-12
bcrA	beta_lactam__cphA7	0.793849999	2.32E-12
adeT2	bleomycin__BLMT	0.793849999	2.32E-12
bcrA	chloramphenicol__catQ	0.793849999	2.32E-12
bcrA	chloramphenicol__cmlA4	0.793849999	2.32E-12
bcrA	chloramphenicol__cmlA5	0.793849999	2.32E-12
aminoglycoside__aadA14	chtS	0.793849999	2.32E-12
beta_lactam__BcI	chtS	0.793849999	2.32E-12
beta_lactam__BcIII	chtS	0.793849999	2.32E-12
chloramphenicol__catA4	chtS	0.793849999	2.32E-12
chloramphenicol__catB10	chtS	0.793849999	2.32E-12
aminoglycoside__aadA14	cueP	0.793849999	2.32E-12
beta_lactam__BcI	cueP	0.793849999	2.32E-12
beta_lactam__BcIII	cueP	0.793849999	2.32E-12
chloramphenicol__catA4	cueP	0.793849999	2.32E-12
chloramphenicol__catB10	cueP	0.793849999	2.32E-12
aminoglycoside__aadA13	eefX	0.793849999	2.32E-12
aminoglycoside__aadA9	eefX	0.793849999	2.32E-12
beta_lactam__CepS	eefX	0.793849999	2.32E-12
beta_lactam__MAB	eefX	0.793849999	2.32E-12
beta_lactam__cphA2	eefX	0.793849999	2.32E-12
chloramphenicol__catB9	eefX	0.793849999	2.32E-12
aminoglycoside__aadA14	emrK	0.793849999	2.32E-12
beta_lactam__BcI	emrK	0.793849999	2.32E-12
beta_lactam__BcIII	emrK	0.793849999	2.32E-12
chloramphenicol__catA4	emrK	0.793849999	2.32E-12
chloramphenicol__catB10	emrK	0.793849999	2.32E-12
adeT2	factumycin__facT	0.793849999	2.32E-12
aminoglycoside__aadA14	farB	0.793849999	2.32E-12
beta_lactam__BcI	farB	0.793849999	2.32E-12
beta_lactam__BcIII	farB	0.793849999	2.32E-12
chloramphenicol__catA4	farB	0.793849999	2.32E-12
chloramphenicol__catB10	farB	0.793849999	2.32E-12
aminoglycoside__aadA13	farR	0.793849999	2.32E-12
aminoglycoside__aadA9	farR	0.793849999	2.32E-12
beta_lactam__CepS	farR	0.793849999	2.32E-12
beta_lactam__MAB	farR	0.793849999	2.32E-12
beta_lactam__cphA2	farR	0.793849999	2.32E-12
chloramphenicol__catB9	farR	0.793849999	2.32E-12
aminoglycoside__aadA16	fbpB	0.793849999	2.32E-12
chloramphenicol__catII	fbpB	0.793849999	2.32E-12
chloramphenicol__cmlB1	fbpB	0.793849999	2.32E-12
fbpB	fosfomycin__FosA4	0.793849999	2.32E-12
chtS	fosfomycin__FosA5	0.793849999	2.32E-12
cueP	fosfomycin__FosA5	0.793849999	2.32E-12
emrK	fosfomycin__FosA5	0.793849999	2.32E-12
farB	fosfomycin__FosA5	0.793849999	2.32E-12
chtS	fosfomycin__FosA6	0.793849999	2.32E-12
cueP	fosfomycin__FosA6	0.793849999	2.32E-12
emrK	fosfomycin__FosA6	0.793849999	2.32E-12
farB	fosfomycin__FosA6	0.793849999	2.32E-12
aminoglycoside__aadA16	frnE	0.793849999	2.32E-12
chloramphenicol__catII	frnE	0.793849999	2.32E-12
chloramphenicol__cmlB1	frnE	0.793849999	2.32E-12
fosfomycin__FosA4	frnE	0.793849999	2.32E-12
aminoglycoside__aadA13	mtrC	0.793849999	2.32E-12
aminoglycoside__aadA9	mtrC	0.793849999	2.32E-12
beta_lactam__CepS	mtrC	0.793849999	2.32E-12
beta_lactam__MAB	mtrC	0.793849999	2.32E-12
beta_lactam__cphA2	mtrC	0.793849999	2.32E-12
chloramphenicol__catB9	mtrC	0.793849999	2.32E-12
aminoglycoside__aadA4	mtrR	0.793849999	2.32E-12
beta_lactam__blaS1	mtrR	0.793849999	2.32E-12
beta_lactam__cphA7	mtrR	0.793849999	2.32E-12
chloramphenicol__catQ	mtrR	0.793849999	2.32E-12
chloramphenicol__cmlA4	mtrR	0.793849999	2.32E-12
chloramphenicol__cmlA5	mtrR	0.793849999	2.32E-12
fbpB	multidrug__CrcB	0.793849999	2.32E-12
frnE	multidrug__CrcB	0.793849999	2.32E-12
fbpB	multidrug__efmA	0.793849999	2.32E-12
frnE	multidrug__efmA	0.793849999	2.32E-12
chtS	multidrug__emeA	0.793849999	2.32E-12
cueP	multidrug__emeA	0.793849999	2.32E-12
emrK	multidrug__emeA	0.793849999	2.32E-12
farB	multidrug__emeA	0.793849999	2.32E-12
bleomycin__BLMT	nccN	0.793849999	2.32E-12
factumycin__facT	nccN	0.793849999	2.32E-12
aminoglycoside__aadA14	ncrY	0.793849999	2.32E-12
beta_lactam__BcI	ncrY	0.793849999	2.32E-12
beta_lactam__BcIII	ncrY	0.793849999	2.32E-12
chloramphenicol__catA4	ncrY	0.793849999	2.32E-12
chloramphenicol__catB10	ncrY	0.793849999	2.32E-12
fosfomycin__FosA5	ncrY	0.793849999	2.32E-12
fosfomycin__FosA6	ncrY	0.793849999	2.32E-12
multidrug__emeA	ncrY	0.793849999	2.32E-12
aminoglycoside__aadA4	nhlF	0.793849999	2.32E-12
beta_lactam__blaS1	nhlF	0.793849999	2.32E-12
beta_lactam__cphA7	nhlF	0.793849999	2.32E-12
chloramphenicol__catQ	nhlF	0.793849999	2.32E-12
chloramphenicol__cmlA4	nhlF	0.793849999	2.32E-12
chloramphenicol__cmlA5	nhlF	0.793849999	2.32E-12
aminoglycoside__aadA13	nirD	0.793849999	2.32E-12
aminoglycoside__aadA9	nirD	0.793849999	2.32E-12
beta_lactam__CepS	nirD	0.793849999	2.32E-12
beta_lactam__MAB	nirD	0.793849999	2.32E-12
beta_lactam__cphA2	nirD	0.793849999	2.32E-12
chloramphenicol__catB9	nirD	0.793849999	2.32E-12
aminoglycoside__aadA16	nixA	0.793849999	2.32E-12
chloramphenicol__catII	nixA	0.793849999	2.32E-12
chloramphenicol__cmlB1	nixA	0.793849999	2.32E-12
fosfomycin__FosA4	nixA	0.793849999	2.32E-12
multidrug__CrcB	nixA	0.793849999	2.32E-12
multidrug__efmA	nixA	0.793849999	2.32E-12
aminoglycoside__aadA13	nmtR	0.793849999	2.32E-12
aminoglycoside__aadA9	nmtR	0.793849999	2.32E-12
beta_lactam__CepS	nmtR	0.793849999	2.32E-12
beta_lactam__MAB	nmtR	0.793849999	2.32E-12
beta_lactam__cphA2	nmtR	0.793849999	2.32E-12
chloramphenicol__catB9	nmtR	0.793849999	2.32E-12
aminoglycoside__aadA4	pfr	0.793849999	2.32E-12
beta_lactam__blaS1	pfr	0.793849999	2.32E-12
beta_lactam__cphA7	pfr	0.793849999	2.32E-12
chloramphenicol__catQ	pfr	0.793849999	2.32E-12
chloramphenicol__cmlA4	pfr	0.793849999	2.32E-12
chloramphenicol__cmlA5	pfr	0.793849999	2.32E-12
bleomycin__BLMT	pmrB	0.793849999	2.32E-12
factumycin__facT	pmrB	0.793849999	2.32E-12
aminoglycoside__aadA14	pmrG	0.793849999	2.32E-12
beta_lactam__BcI	pmrG	0.793849999	2.32E-12
beta_lactam__BcIII	pmrG	0.793849999	2.32E-12
chloramphenicol__catA4	pmrG	0.793849999	2.32E-12
chloramphenicol__catB10	pmrG	0.793849999	2.32E-12
fosfomycin__FosA5	pmrG	0.793849999	2.32E-12
fosfomycin__FosA6	pmrG	0.793849999	2.32E-12
multidrug__emeA	pmrG	0.793849999	2.32E-12
bcrA	quinolone__QnrB19	0.793849999	2.32E-12
mtrR	quinolone__QnrB19	0.793849999	2.32E-12
nhlF	quinolone__QnrB19	0.793849999	2.32E-12
pfr	quinolone__QnrB19	0.793849999	2.32E-12
chtS	quinolone__QnrB20	0.793849999	2.32E-12
cueP	quinolone__QnrB20	0.793849999	2.32E-12
emrK	quinolone__QnrB20	0.793849999	2.32E-12
farB	quinolone__QnrB20	0.793849999	2.32E-12
ncrY	quinolone__QnrB20	0.793849999	2.32E-12
pmrG	quinolone__QnrB20	0.793849999	2.32E-12
fbpB	quinolone__QnrB21	0.793849999	2.32E-12
frnE	quinolone__QnrB21	0.793849999	2.32E-12
nixA	quinolone__QnrB21	0.793849999	2.32E-12
fbpB	quinolone__QnrB25	0.793849999	2.32E-12
frnE	quinolone__QnrB25	0.793849999	2.32E-12
nixA	quinolone__QnrB25	0.793849999	2.32E-12
fbpB	quinolone__QnrB27	0.793849999	2.32E-12
frnE	quinolone__QnrB27	0.793849999	2.32E-12
nixA	quinolone__QnrB27	0.793849999	2.32E-12
